tid,name,root,extensible,ordersignificant,templatecontentitem,includetemplate
300,Measurement,F,T,T,,
310,MeasurementProperties,F,T,T,,
311,MeasurementStatisticalProperties,F,T,T,,
312,NormalRangeProperties,F,T,T,,
315,EquationorTable,F,T,T,,
320,ImageorSpatialCoordinates,F,T,T,,
321,WaveformorTemporalCoordinates,F,T,T,,
350,ReferencestoSupportingEvidence,F,F,T,,
351,PreviousReports,F,T,T,,
400,ReferenceLocation,F,T,F,,
1000,Quotation,F,T,T,,
1001,ObservationContext,F,F,T,,
1002,ObserverContext,F,F,T,,
1003,PersonObserverIdentifyingAttributes,F,T,T,,
1004,DeviceObserverIdentifyingAttributes,F,T,T,,
1005,ProcedureStudyContext,F,F,T,,
1006,SubjectContext,F,F,T,,
1007,"SubjectContext,Patient",F,T,T,,
1008,"SubjectContext,Fetus",F,T,T,,
1009,"SubjectContext,Specimen",F,T,T,,
1010,"SubjectContext,Device",F,T,T,,
1015,PersonObserverDescription,F,T,F,,
1020,PersonParticipant,F,T,T,,
1021,DeviceParticipant,F,T,T,,
1200,LanguageDesignation,F,T,T,,
1201,LanguageofValue,F,F,T,,
1202,LanguageofNameandValue,F,T,T,,
1204,LanguageofContentItemandDescendants,F,F,T,,
1210,EquivalentMeaning(s)ofConceptName,F,F,T,,
1211,EquivalentMeaning(s)ofValue,F,T,T,,
1350,"NegationModifier,PresenceofFinding",F,T,T,,
1400,LinearMeasurement,F,T,T,,
1401,AreaMeasurement,F,T,T,,
1402,VolumeMeasurement,F,T,T,,
1404,NumericMeasurement,F,T,T,,
1406,ThreeDimensionalLinearMeasurement,F,T,T,,
1410,PlanarROIMeasurementsandQualitativeEvaluations,F,T,F,,
1411,VolumetricROIMeasurementsandQualitativeEvaluations,F,T,F,,
1419,ROIMeasurements,F,T,F,,
1420,MeasurementsDerivedFromMultipleROIMeasurements,F,T,F,,
1500,MeasurementReport,T,T,F,,
1501,MeasurementandQualitativeEvaluationGroup,F,T,F,,
1502,TimePointContext,F,T,F,,
1600,ImageLibrary,F,T,F,,
1601,ImageLibraryEntry,F,T,F,,
1602,ImageLibraryEntryDescriptors,F,T,F,,
1603,ImageLibraryEntryDescriptorsforProjectionRadiography,F,T,F,,
1604,ImageLibraryEntryDescriptorsforCrossSectionalModalities,F,T,F,,
1605,ImageLibraryEntryDescriptorsforCT,F,T,F,,
1606,ImageLibraryEntryDescriptorsforMR,F,T,F,,
1607,ImageLibraryEntryDescriptorsforPET,F,T,F,,
1608,ImageLibraryEntryDescriptorsforProstateMultiparametricMR,F,T,F,,
1700,GenericBloodLabMeasurements,F,T,T,,
1701,ImagingStudyQuality,F,T,T,,
2000,BasicDiagnosticImagingReport,T,F,T,,
2001,BasicDiagnosticImagingReportObservations,F,F,T,,
2002,ReportNarrative,F,F,F,,
2005,TranscribedDiagnosticImagingReport,T,F,T,,
2006,ImagingReportWithConditionalRadiationExposureandProtectionInformation,T,F,F,,
2007,ImagingProcedureDescription,F,T,F,,
2008,RadiationExposureandProtectionInformation,F,T,F,,
2010,KeyObjectSelection,T,F,F,,
2020,SpectaclePrescriptionReport,T,T,T,,
2021,SpectaclePrescriptionDetails,F,T,T,,
2100,MacularGridThicknessandVolumeReport,T,T,T,,
2101,MacularGridThicknessandVolumeMeasurement,F,T,T,,
2102,QualityRatingIdentification,F,F,T,,
3001,ProcedureLog,T,T,F,,
3010,LogEntryQualifiers,F,T,T,,
3100,ProcedureAction,F,T,T,,
3101,ImageAcquisition,F,T,T,,
3102,WaveformAcquisition,F,T,T,,
3103,ReferencedObject,F,T,T,,
3104,Consumables,F,T,T,,
3105,LesionIdentificationandProperties,F,T,T,,
3106,Drugs/ContrastAdministered,F,T,T,,
3107,DeviceUsed,F,T,T,,
3108,Intervention,F,T,T,,
3109,Measurements,F,T,T,,
3110,ImpressionsorFindings,F,T,T,,
3111,PercutaneousEntry,F,T,T,,
3112,SpecimenObtained,F,T,T,,
3113,PatientSupport,F,T,T,,
3114,PatientAssessment,F,T,T,,
3115,ECGSTAssessment,F,T,T,,
3202,QuantitativeVentricularAnalysisReport,F,T,T,,
3205,Calibration,F,T,T,,
3206,VAMainResults,F,T,T,,
3207,AAMainResults,F,T,T,,
3208,FrameToFrameResult,F,T,T,,
3209,CenterlineWallMotion,F,T,T,,
3210,RadialBasedWallMotion,F,T,T,,
3211,LandmarkBasedWallMotion,F,T,T,,
3213,QuantitativeArterialAnalysis,F,T,T,,
3214,AnalyzedSegment,F,T,T,,
3215,AngiographicLesionAnalysis,F,T,T,,
3216,StenoticFlowReserve,F,T,T,,
3217,SubSegmentalData,F,T,T,,
3218,PositioninArterialSegment,F,T,T,,
3219,SegmentValues,F,T,T,,
3250,IVUSReport,T,T,T,,
3251,IVUSVessel,F,T,T,,
3252,IVUSLesion,F,T,T,,
3253,IVUSMeasurements,F,T,T,,
3254,IVUSQualitativeAssessments,F,T,T,,
3255,IVUSVolumeMeasurement,F,T,T,,
3300,StressTestingReport,T,T,T,,
3301,StressTestProcedureDescription,F,T,T,,
3303,StressTestPhaseData,F,T,T,,
3304,StressTestMeasurementGroup,F,T,T,,
3307,NM/PETPerfusionMeasurementGroup,F,T,T,,
3309,StressEchoMeasurementGroup,F,T,T,,
3311,StressTestSummary,F,T,T,,
3312,PhysiologicalSummary,F,T,T,,
3313,StressECGSummary,F,T,T,,
3317,StressImagingSummary,F,T,T,,
3318,ComparisontoPriorStressStudy,F,T,T,,
3320,ConclusionsandRecommendations,F,T,F,,
3500,HemodynamicsReport,T,T,T,,
3501,HemodynamicsMeasurementGroup,F,T,T,,
3504,ArterialPressureMeasurement,F,T,T,,
3505,AtrialPressureMeasurement,F,T,T,,
3506,VenousPressureMeasurement,F,T,T,,
3507,VentricularPressureMeasurement,F,T,T,,
3508,GradientMeasurement,F,T,T,,
3509,BloodVelocityMeasurement,F,T,T,,
3510,VitalSigns,F,T,T,,
3515,CardiacOutputMeasurementByIndicatorDilution,F,T,T,,
3516,BloodLabMeasurements,F,T,T,,
3520,HemodynamicClinicalContext,F,T,T,,
3521,RelativeTime,F,F,T,,
3530,HemodynamicAcquisitionContext,F,T,T,,
3550,PressureWaveformMeasurements,F,T,T,,
3560,DerivedHemodynamicMeasurements,F,T,T,,
3570,"Summary,Hemodynamics",F,T,T,,
3601,ProcedureContext,F,T,T,,
3602,CardiovascularPatientCharacteristics,F,T,T,,
3603,ProcedureEnvironmentalCharacteristics,F,T,T,,
3700,ECGReport,T,T,T,,
3702,PriorECGStudy,F,T,T,,
3704,PatientCharacteristicsforECG,F,T,T,,
3708,ECGWaveformInformation,F,T,T,,
3713,ECGGlobalMeasurements,F,T,T,,
3714,ECGLeadMeasurements,F,T,T,,
3715,ECGMeasurementSource,F,T,T,,
3717,"QualitativeAnalysis,ECG",F,T,T,,
3719,"Summary,ECG",F,T,T,,
3800,CardiacCatheterizationReportRoot,T,T,T,,
3802,CardiovascularPatientHistory,F,T,T,,
3803,"PatientPresentation,Cath",F,T,T,,
3806,CathProcedure,F,T,T,,
3807,PercutaneousCoronaryInterventionProcedure,F,T,T,,
3808,LesionInterventionInformation,F,T,T,,
3809,OtherInterventionalProcedures,F,T,T,,
3810,CardiacCatheterizationFindings,F,T,T,,
3812,HemodynamicFindings,F,T,T,,
3814,LeftVentriculographyFindings,F,T,T,,
3815,RightVentriculographyFindings,F,T,T,,
3816,VentricularAssessment,F,T,T,,
3817,CoronaryArteriographyFindings,F,T,T,,
3818,OtherCardiographicFindings,F,T,T,,
3819,CommonFindings,F,T,T,,
3820,"AdverseOutcomes,Cath",F,T,T,,
3824,"Summary,Cath",F,T,F,,
3828,"DischargeSummary,Cath",F,T,T,,
3829,ProblemProperties,F,T,T,,
3830,ProcedureProperties,F,T,T,,
3831,MedicalDeviceUse,F,T,T,,
